Street Number,Street Name,Zip,Total GHG Emissions (MtCO2e),Primary Property Type - Self Selected,System Size (kW-DC),"Total System Cost, Before Incentives",Cost After All Incentives and Taxes,Break Even Point,Energy Production (kWh/yr),Savings Per Year,CO2 Emissions Reductions (lbs/yr),Trees Planted Equivalent
3915,1 AVENUE,11232,685.66,Other,525.11,2888105,954462,8,610390,120000,420257,1121
4000,1 AVENUE,11232,411.4,Warehouse (Unrefrigerated),296.22,1629210,508908,9,347952,60000,239567,639
4473,1 AVENUE,11232,110.65,Other,442.01,2431055,779531,17,524611,60000,361197,964
5301,1 AVENUE,11220,31.02,Warehouse (Unrefrigerated),330.58,1818190,572689,13,388313,60000,267355,713
5706,1 AVENUE,11220,379.13,Warehouse (Unrefrigerated),318.15,1749825,549616,8,377605,79297,259983,694
4723,10 AVENUE,11219,2341.56,Other,208.39,1146145,345874,8,242233,50869,166779,445
4801,10 AVENUE,11219,10006.42,Hospital (General Medical and Surgical),170.59,980893,290101,8,202469,42519,139401,372
4915,10 AVENUE,11219,3259.35,Hospital (General Medical and Surgical),103.25,593688,159420,7,120018,25204,82633,220
4802,10 AVENUE,11219,1629.46,Office,108.41,623358,169433,7,122037,25628,84023,224
317,100 STREET,11209,343.17,Multifamily Housing,44.09,264540,53173,6,51790,10876,35658,95
302,101 STREET,11209,185.48,Multifamily Housing,104.19,599093,161244,7,118561,24898,81630,218
343,101 STREET,11209,339.19,Multifamily Housing,71.52,429120,103878,7,81385,17091,56034,150
4520,12 AVENUE,11219,256.78,Multifamily Housing,32.03,208195,44033,6,37624,7901,25904,69
4611,12 AVENUE,11219,334.17,Multifamily Housing,43.74,262440,52750,6,50844,10677,35006,93
4711,12 AVENUE,11219,313.92,Multifamily Housing,49.86,299160,60131,6,58568,12299,40324,108
1,12 ST EXTENSION,11215,1526.02,Other,391.72,2154460,686180,15,445751,60000,306902,819
420,12 STREET,11215,304.58,Multifamily Housing,136.57,785278,224081,7,160421,33688,110450,295
438,12 STREET,11215,233.2,Multifamily Housing,18.23,127610,28138,7,21414,4497,14743,39
444,12 STREET,11215,297.17,Multifamily Housing,52.33,313980,65018,6,58267,12236,40117,107
3611,14 AVENUE,11218,1935.76,Other,363.56,1999580,633908,8,431501,90615,297090,793
4600,14 AVENUE,11219,225.46,Multifamily Housing,40.04,240240,48288,6,47523,9980,32719,87
4800,14 AVENUE,11219,70.42,Multifamily Housing,40.64,243840,49012,6,48235,10129,33210,89
4812,14 AVENUE,11219,453.18,Multifamily Housing,49.34,296040,59504,6,57957,12171,39904,106
5000,14 AVENUE,11219,242.42,K-12 School,41.32,247920,49832,6,46008,9662,31677,85
5001,14 AVENUE,11219,335.13,Multifamily Housing,39.35,255775,54096,6,46222,9707,31824,85
5301,14 AVENUE,11219,547.4,K-12 School,90.42,519915,134521,7,103998,21840,71603,191
5502,14 AVENUE,11219,292.87,Multifamily Housing,72.59,435540,106045,7,86155,18093,59318,158
5601,14 AVENUE,11219,293.44,Multifamily Housing,43.66,261960,52654,6,51285,10770,35310,94
4701,15 AVENUE,11219,305.64,Multifamily Housing,52.01,312060,64370,6,61729,12963,42501,113
4910,15 AVENUE,11219,126.06,Multifamily Housing,73.97,443820,108839,7,86888,18247,59823,160
5000,15 AVENUE,11219,129.38,Multifamily Housing,57.09,342540,74657,6,67060,14083,46171,123
5001,15 AVENUE,11219,374.62,Multifamily Housing,37.54,244010,51608,6,44096,9260,30360,81
5100,15 AVENUE,11219,435.36,Multifamily Housing,86.71,498583,127322,7,102914,21612,70857,189
5201,15 AVENUE,11219,400.84,Multifamily Housing,56.83,340980,74131,6,67450,14165,46440,124
5501,15 AVENUE,11219,304.29,Multifamily Housing,36.94,240110,50783,6,43391,9112,29875,80
5512,15 AVENUE,11219,279.9,Multifamily Housing,39.7,258050,54578,6,46633,9793,32107,86
5619,15 AVENUE,11219,232.35,Multifamily Housing,39.18,254670,53863,6,46981,9866,32347,86
5624,15 AVENUE,11219,273.74,Multifamily Housing,33.76,219440,46412,7,38830,8154,26734,71
